date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:30	67423/67423	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2010:29:03%20GMT	https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html	(from )
14:52:30	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Sep%202021%2014:37:15%20GMT	https://wheels.stylox.design/robots.txt		(from )
14:52:30	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2029%20Jan%202020%2013:23:50%20GMT	https://wheels.stylox.design/images/favicon.ico	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/favicon.ico	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:31	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:31	57481/57481	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2013:23:44%20GMT	https://wheels.stylox.design/css/animate.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/animate.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:31	46876/46876	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2013:23:44%20GMT	https://wheels.stylox.design/css/fontawesome.min.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/fontawesome.min.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:32	140936/140936	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2013:23:44%20GMT	https://wheels.stylox.design/css/bootstrap.min.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/bootstrap.min.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:32	193985/193985	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Apr%202023%2007:04:00%20GMT	https://wheels.stylox.design/css/bootstrap.min5.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/bootstrap.min5.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:32	195704/195704	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Jun%202021%2015:55:36%20GMT	https://wheels.stylox.design/css/bootstrap5.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/bootstrap5.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:32	3351/3351	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2013:23:44%20GMT	https://wheels.stylox.design/css/owl.carousel.min.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/owl.carousel.min.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:32	12795/12795	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2013:23:56%20GMT	https://wheels.stylox.design/css/fancybox/jquery.fancybox.min.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/fancybox/jquery.fancybox.min.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:33	73363/73363	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2010:26:30%20GMT	https://wheels.stylox.design/style.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/style.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:33	16780/16780	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202023%2007:23:32%20GMT	https://wheels.stylox.design/css/responsive.css	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/css/responsive.css	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:33	9895/9895	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202020%2013:23:54%20GMT	https://wheels.stylox.design/images/st-loader.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/st-loader.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:33	24440/24440	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2010:39:15%20GMT	https://wheels.stylox.design/intro/index.html	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/intro/index.html	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:33	7696/7696	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Dec%202023%2005:59:26%20GMT	https://wheels.stylox.design/intro/images/e-bike-logo-white.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/intro/images/e-bike-logo-white.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:34	7549/7549	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Dec%202023%2005:59:24%20GMT	https://wheels.stylox.design/intro/images/e-bike-logo-dark.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/intro/images/e-bike-logo-dark.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:34	202426/202426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Nov%202023%2013:05:44%20GMT	https://wheels.stylox.design/images/hero-bg.jpg	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/hero-bg.jpg	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:34	104912/104912	---M--	200	added ('OK')	image/webp	date:Fri,%2010%20Nov%202023%2012:05:14%20GMT	https://wheels.stylox.design/images/hero-bike.webp	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/hero-bike.webp	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:34	4144/4144	---M--	200	added ('OK')	image/webp	date:Fri,%2010%20Nov%202023%2010:52:22%20GMT	https://wheels.stylox.design/images/charging-image.webp	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/charging-image.webp	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:35	347109/347109	---M--	200	added ('OK')	image/gif	date:Tue,%2005%20Dec%202023%2009:31:38%20GMT	https://wheels.stylox.design/images/hero-ebike.gif	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/hero-ebike.gif	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:35	140266/140266	---M--	200	added ('OK')	image/webp	date:Fri,%2010%20Nov%202023%2012:03:40%20GMT	https://wheels.stylox.design/images/about-sec.webp	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/about-sec.webp	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:35	3337/3337	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Nov%202023%2006:05:34%20GMT	https://wheels.stylox.design/images/efficient.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/efficient.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:35	661743/661743	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Nov%202023%2010:30:58%20GMT	https://wheels.stylox.design/images/feature-section.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/feature-section.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
14:52:35	2559/2559	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Nov%202023%2006:14:42%20GMT	https://wheels.stylox.design/images/plug.png	C:/Users/vitth/OneDrive/Desktop/project%20clients/NEW%20website/wheels.stylox.design/images/plug.png	(from https://wheels.stylox.design/website-theme-template-to-launch-e-bike-styloxdesign.html)
